objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237667782810468820,22.79785,20.66693,18.98246,18.37013,17.97986,0.3167902,22.90968,21.51285,19.87674,19.34088,18.9416,22.79785,20.66693,18.98246,18.37013,17.97986,127.469416862936,12.6494644053421,3,GALAXY,null
1237667782810403541,23.97225,21.94286,20.98173,19.93843,19.54154,0.7841206,25.04275,23.29011,22.12627,21.29872,21.12448,23.97225,21.94286,20.98173,19.93843,19.54154,127.287204884456,12.4883141001318,3,GALAXY,null
1237667782277923327,24.73195,22.18656,21.90893,21.48498,21.03868,0.7230816,24.42286,22.68821,22.47679,22.04858,21.62848,24.73195,22.18656,21.90893,21.48498,21.03868,137.160075896444,15.2473780734224,3,GALAXY,null
1237667782277858035,22.28548,22.46925,21.83885,21.78098,22.08441,1.089408,22.96329,23.21872,22.78953,23.01192,22.54263,22.28548,22.46925,21.83885,21.78098,22.08441,137.141878086762,15.1185959761495,3,GALAXY,null
1237667782277791881,25.14632,22.78437,21.1394,20.36769,21.48191,1.01887,24.87505,23.69332,22.6466,22.06377,22.18739,25.14632,22.78437,21.1394,20.36769,21.48191,137.031049277925,15.0936241014102,3,GALAXY,null
1237667782273729507,22.45839,20.41436,18.67077,18.08712,17.66431,0.3671316,23.7022,22.04407,20.26335,19.73091,19.29516,22.45839,20.41436,18.67077,18.08712,17.66431,127.874605155727,12.3508013846155,3,GALAXY,null
1237667782273728686,25.01874,22.85425,20.71337,19.67203,19.51143,0.4806283,24.79237,23.47844,21.59038,20.58868,20.34477,25.01874,22.85425,20.71337,19.67203,19.51143,127.887442866272,12.3375501327082,3,GALAXY,null
1237667782273663522,21.1699,19.49301,18.06174,17.53324,17.14348,0.2529274,22.21722,20.51217,19.14663,18.65713,18.24152,21.1699,19.49301,18.06174,17.53324,17.14348,127.752629092905,12.3089883014157,3,GALAXY,null
1237667782273663039,25.25097,21.9635,20.51787,19.66644,19.35113,0.4452571,25.15391,22.75038,21.40357,20.60184,20.21827,25.25097,21.9635,20.51787,19.66644,19.35113,127.630571380354,12.3431828092578,3,GALAXY,null
1237667782273663001,23.62714,20.56766,18.62615,17.99636,17.69174,0.3183882,23.90498,21.46947,19.69423,19.18129,18.76044,23.62714,20.56766,18.62615,17.99636,17.69174,127.615559659877,12.2939310350364,3,GALAXY,null
1237667782273662986,25.28412,24.86448,21.72203,20.29794,19.83796,0.5862712,25.25553,24.83148,22.09968,20.70143,20.2147,25.28412,24.86448,21.72203,20.29794,19.83796,127.628220935162,12.2122853192807,3,GALAXY,null
1237667782273598241,24.98846,22.12257,20.84322,19.88307,19.44868,0.7199985,25.27005,23.192,22.27861,21.20058,20.71633,24.98846,22.12257,20.84322,19.88307,19.44868,127.561271214021,12.1558529441406,3,GALAXY,null
1237667782273597614,23.20371,20.35334,18.68368,18.09692,17.71437,0.3646648,23.26944,21.25464,19.63102,19.12705,18.6892,23.20371,20.35334,18.68368,18.09692,17.71437,127.601366059697,12.1969306257897,3,GALAXY,null
1237667782273532378,22.44351,20.46278,18.73426,18.13931,17.76346,0.3194661,23.20839,21.52867,19.83085,19.33607,18.96553,22.44351,20.46278,18.73426,18.13931,17.76346,127.431468940358,12.2084549787459,3,GALAXY,null
1237667781740987142,22.34183,22.33784,21.87333,21.17713,21.39318,1.161102,22.95026,22.88259,22.77796,22.10386,22.03072,22.34183,22.33784,21.87333,21.17713,21.39318,137.182314576024,14.8491156151691,3,GALAXY,null
1237667781740987032,22.584,21.89655,21.32092,20.79528,20.31304,1.085112,23.72539,22.79666,22.41982,21.88608,21.86576,22.584,21.89655,21.32092,20.79528,20.31304,137.178176010366,14.7377624172094,3,GALAXY,null
1237667781740921902,22.41101,22.16567,21.5759,20.63986,20.62334,0.8024551,23.3949,23.24695,22.91537,21.98741,22.13541,22.41101,22.16567,21.5759,20.63986,20.62334,137.111683735721,14.7315146266624,3,GALAXY,null
1237667731270664595,22.45732,20.02664,18.45438,17.92362,17.55611,0.2580365,22.70465,20.69503,19.21591,18.73297,18.35943,22.45732,20.02664,18.45438,17.92362,17.55611,127.896564349902,12.9754606831234,3,GALAXY,null
1237667731270534256,23.21597,22.52106,20.764,19.67649,19.22232,0.5904932,23.92113,23.25801,21.58221,20.49977,20.12498,23.21597,22.52106,20.764,19.67649,19.22232,127.591816172497,12.8633987897857,3,GALAXY,null
1237667731270468714,25.27442,21.66768,19.91486,19.11186,18.63884,0.454585,25.0701,22.45045,20.81984,20.04192,19.55146,25.27442,21.66768,19.91486,19.11186,18.63884,127.484362042589,12.9574541761781,3,GALAXY,null
